"","date","region","new_cases","new_pred_cases","region_cases","pred_region_cases","pred_region_cases_low","pred_region_cases_high"
"522","2020-02-14","Oceania",0.142857142857143,0,15,0,0,0
"523","2020-02-14","Europe",12.4285714285714,25084.6855586786,55,4975.57497688929,0,70219.7815422006
"524","2020-02-14","Americas",0.571428571428571,0,20,0,0,0
"527","2020-02-14","Africa",0.0909090909090909,0,1,0,0,0
"550","2020-02-15","Asia",2672.14285714286,1749648.06832586,68958,51709913.1472251,24358064.6967103,84339550.0839878
"551","2020-02-15","Oceania",0.0952380952380952,0,15,0,0,0
"552","2020-02-15","Europe",17.5238095238095,32668.2681500913,56,13653.0582967763,108.346449128176,107144.110218856
"553","2020-02-15","Americas",0.619047619047619,0,20,0,0,0
"556","2020-02-15","Africa",0.166666666666667,0,1,0,0,0
"579","2020-02-16","Asia",2532.61904761905,1652598.76802717,71142,53297550.8022085,25802422.2446803,86182917.66438
"580","2020-02-16","Oceania",0.0952380952380952,0,15,0,0,0
"581","2020-02-16","Europe",25.2380952380952,42028.6448493648,56,28214.1952567835,1475.13095619537,155019.981357735
"582","2020-02-16","Americas",0.619047619047619,0,20,0,0,0
"585","2020-02-16","Africa",0.153846153846154,0,1,0,0,0
"608","2020-02-17","Asia",2434.2380952381,1550580.21499853,73175,54721571.0084145,27188216.2356554,87930151.0876614
"609","2020-02-17","Oceania",0.0476190476190476,0,15,0,0,0
"610","2020-02-17","Europe",37.8095238095238,53946.4622674894,57,49715.7130222406,5341.65532587797,214808.596874873
"611","2020-02-17","Americas",0.761904761904762,0,21,0,0,0
"614","2020-02-17","Africa",0.142857142857143,0,1,0,0,0
"637","2020-02-18","Asia",2314.66666666667,1444949.64698977,75057,56006199.6336529,28514612.4666399,89616609.7798795
"638","2020-02-18","Oceania",0.0476190476190476,0,15,0,0,0
"639","2020-02-18","Europe",52.1904761904762,68814.2807130426,57,79382.1587906085,13006.6764264589,289708.079952245
"640","2020-02-18","Americas",0.761904761904762,0,21,0,0,0
"643","2020-02-18","Africa",0.2,0,1,0,0,187784.56898435
"666","2020-02-19","Asia",2256,1337906.02840558,75556,57159796.4023739,29741636.9127922,91244092.5621466
"667","2020-02-19","Oceania",0.523809523809524,0,15,0,0,0
"668","2020-02-19","Europe",69.4285714285714,86840.834666822,58,118232.335914925,25717.9573784372,384626.760145348
"669","2020-02-19","Americas",1.61904761904762,6.18762835424306,21,0,0,0
"672","2020-02-19","Africa",0.1875,47.5411218382329,1,0,0,352426.461455467
"696","2020-02-20","Asia",2188,1233892.70588414,76114,58194026.5953043,30858257.0389663,92825236.8578029
"697","2020-02-20","Oceania",0.619047619047619,0,15,0,0,0
"698","2020-02-20","Europe",105.238095238095,108355.456248538,60,167356.047612979,44442.1692047152,509108.777702871
"699","2020-02-20","Americas",2.80952380952381,58.9494413633316,21,0,0,15880.8248389008
"702","2020-02-20","Africa",0.235294117647059,248.867455591699,1,0,0,498838.99655253
"726","2020-02-21","Asia",2129.38095238095,1135135.08681557,76722,59129623.7380533,31861919.5146338,94381850.3180375
"727","2020-02-21","Oceania",0.761904761904762,16.9182949944137,15,0,0,0
"728","2020-02-21","Europe",131.857142857143,133635.119120626,78,228841.466915249,70479.78441073,668813.869201871
"729","2020-02-21","Americas",4,180.211576467607,24,0,0,32234.4459641219
"732","2020-02-21","Africa",0.444444444444444,556.639188840256,1,0,0,692651.7631075
"758","2020-02-22","Asia",2121.2380952381,1042964.79499269,78441,59980879.2801093,32751958.6361093,95939938.3873563
"759","2020-02-22","Oceania",1.19047619047619,78.2480245537193,15,0,0,0
"760","2020-02-22","Europe",164,162953.245244392,120,305934.614196821,104852.869715825,872316.354832001
"761","2020-02-22","Americas",5.19047619047619,1020.53186341662,24,0,0,49019.3865962387
"764","2020-02-22","Africa",0.578947368421053,1075.58730472921,1,0,0,872849.793134233
"790","2020-02-23","Asia",2160,958227.6885303,78721,60756696.3659215,33541076.3522077,97511646.1806862
"791","2020-02-23","Oceania",1.9047619047619,206.027954425851,15,0,0,0
"792","2020-02-23","Europe",211.952380952381,196517.819994268,218,403001.371777376,148668.762020367,1121323.10552905
"793","2020-02-23","Americas",7.04761904761905,3354.14403764406,26,0,0,66203.4626497765
"797","2020-02-23","Africa",1.05,2309.35399852703,1,0,0,1046835.26892032
"823","2020-02-24","Asia",1499.52380952381,882048.842742617,79208,61467295.6023116,34241809.6554754,99114172.5812789
"825","2020-02-24","Oceania",2.04761904761905,418.182495733189,15,0,0,0
"826","2020-02-24","Europe",277.666666666667,234326.24133864,294,526778.396732251,204559.148467907,1427569.07284262
"828","2020-02-24","Americas",10.7619047619048,7926.72383048139,27,0,0,83749.0792989774
"832","2020-02-24","Africa",1.14285714285714,4418.06247132835,1,0,0,1216532.25707485
"861","2020-02-25","Asia",1285.66666666667,814767.11581888,79951,62119550.0173071,34864056.4847738,100762286.057753
"863","2020-02-25","Oceania",2.33333333333333,751.516321766942,15,0,0,5.89604785068295
"864","2020-02-25","Europe",366.047619047619,276144.608225897,402,686033.631151918,276875.927545911,1799338.26812566
"867","2020-02-25","Americas",14.0952380952381,15323.5523473023,28,0,0,107539.587024282
"872","2020-02-25","Africa",2,8182.71117107083,2,0,0,1547997.73618677
"904","2020-02-26","Asia",1266.71428571429,756969.448809434,80764,62718187.7834286,35417919.6616028,102470243.347653
"906","2020-02-26","Oceania",2.52380952380952,1262.3883200439,15,0,0,17.6881435520489
"907","2020-02-26","Europe",466.952380952381,321532.027787712,565,882601.54183666,366906.701042999,2237927.97338078
"910","2020-02-26","Americas",20.4285714285714,26492.3206186847,29,0,0,134645.948008988
"916","2020-02-26","Africa",2,13058.1176830832,2,0,0,1895385.52258596
"953","2020-02-27","Asia",1220.47619047619,709163.716682134,81856,63267359.5037459,35911088.1258541,104464911.315751
"955","2020-02-27","Oceania",3.14285714285714,1960.8026058412,15,0,0,890.168655534035
"956","2020-02-27","Europe",587,370450.356450997,829,1132875.70761728,487216.47834464,2770799.47599831
"959","2020-02-27","Americas",27.8571428571429,42178.8055539903,32,0,0,178041.445009894
"966","2020-02-27","Africa",3.9047619047619,19352.8397075019,2,0,0,2262425.15594172
"1005","2020-02-28","Asia",1166.57142857143,671124.377578342,82933,63769063.0104607,36344065.6356936,106555828.168212
"1007","2020-02-28","Oceania",3.85714285714286,2881.48485668336,16,0,0,3060.23923305851
