"","iso3c","country","region","date","geo_level","sample.size","sero_ir","case_ir","death_r","log_gdp_ppp","population"
"42","USA","United States","Connecticut",2020-04-16,2,1431,0.0494,0.00441900047795535,0.00027013658172341,-9.6997539903221,3594478
"43","USA","United States","New York City Metro Area",2020-04-16,3,1116,0.232,0.0161668343409521,0.00120272115560617,-9.6997539903221,12396057
"44","ESP","Spain","Spain",2020-04-20,1,35883,0.05,0.00428212873964146,0.000445986456615572,-10.1754968353364,46754783
"45","ESP","Spain","Alicante/Alacant",2020-04-20,2,1573,0.026,0.00238963462238266,0.000445986456615572,-10.1754968353364,1852166
"46","ESP","Spain","Albacete",2020-04-20,2,1058,0.117,0.0103217291697794,0.000445986456615572,-10.1754968353364,401580
"47","ESP","Spain","Almería",2020-04-20,2,986,0.016,0.000840670445569855,0.000445986456615572,-10.1754968353364,688736
"48","ESP","Spain","Ávila",2020-04-20,2,667,0.066,0.0112614843253887,0.000445986456615572,-10.1754968353364,171647
"49","ESP","Spain","Barcelona",2020-04-20,2,3696,0.07,0.00724971095858537,0.000445986456615572,-10.1754968353364,5522565
"50","ESP","Spain","Badajoz",2020-04-20,2,1583,0.026,0.00157415665532908,0.000445986456615572,-10.1754968353364,691799
"51","ESP","Spain","Bizkaia",2020-04-20,2,1195,0.04,0.00661482974251637,0.000445986456615572,-10.1754968353364,1156190
"52","ESP","Spain","Burgos",2020-04-20,2,887,0.049,0.00683688643843044,0.000445986456615572,-10.1754968353364,372538
"53","ESP","Spain","Coruña, A",2020-04-20,2,1275,0.018,0.00345662699796545,0.000445986456615572,-10.1754968353364,1141286
"54","ESP","Spain","Cádiz",2020-04-20,2,1385,0.016,0.00108939112997818,0.000445986456615572,-10.1754968353364,1244732
"55","ESP","Spain","Cáceres",2020-04-20,2,1201,0.03,0.00729826193781939,0.000445986456615572,-10.1754968353364,412701
"56","ESP","Spain","Ceuta",2020-04-20,2,838,0.012,0.00185733708847237,0.000445986456615572,-10.1754968353364,82376
"57","ESP","Spain","Córdoba",2020-04-20,2,1117,0.026,0.00187521415444039,0.000445986456615572,-10.1754968353364,802575
"58","ESP","Spain","Ciudad Real",2020-04-20,2,1163,0.102,0.0139814062298245,0.000445986456615572,-10.1754968353364,526628
"59","ESP","Spain","Castellón/Castelló",2020-04-20,2,803,0.029,0.00264626368764331,0.000445986456615572,-10.1754968353364,594423
"60","ESP","Spain","Cuenca",2020-04-20,2,851,0.132,0.00808216949782725,0.000445986456615572,-10.1754968353364,215165
"61","ESP","Spain","Palmas, Las",2020-04-20,2,1244,0.019,0.000653038699441238,0.000445986456615572,-10.1754968353364,1087225
"62","ESP","Spain","Girona",2020-04-20,2,905,0.026,0.00511834169985342,0.000445986456615572,-10.1754968353364,751806
"63","ESP","Spain","Granada",2020-04-20,2,1024,0.028,0.00302461772042078,0.000445986456615572,-10.1754968353364,922100
"64","ESP","Spain","Guadalajara",2020-04-20,2,814,0.104,0.00647524490953302,0.000445986456615572,-10.1754968353364,257442
"65","ESP","Spain","Huelva",2020-04-20,2,930,0.012,0.000861712461170044,0.000445986456615572,-10.1754968353364,519895
"66","ESP","Spain","Huesca",2020-04-20,2,733,0.044,0.00291199405209726,0.000445986456615572,-10.1754968353364,225962
"67","ESP","Spain","Jaén",2020-04-20,2,1062,0.04,0.00245848589629115,0.000445986456615572,-10.1754968353364,667484
"68","ESP","Spain","Lleida",2020-04-20,2,710,0.038,0.00457087594770407,0.000445986456615572,-10.1754968353364,438428
"69","ESP","Spain","León",2020-04-20,2,886,0.061,0.00638135703165542,0.000445986456615572,-10.1754968353364,493312
"70","ESP","Spain","Rioja, La",2020-04-20,2,1324,0.034,0.0119717410865795,0.000445986456615572,-10.1754968353364,321173
"71","ESP","Spain","Lugo",2020-04-20,2,813,0.022,0.00226393194413719,0.000445986456615572,-10.1754968353364,348067
"72","ESP","Spain","Madrid",2020-04-20,2,3186,0.113,0.0101003227406829,0.000445986456615572,-10.1754968353364,6421874
"73","ESP","Spain","Málaga",2020-04-20,2,1463,0.04,0.00219336747746437,0.000445986456615572,-10.1754968353364,1594808
"74","ESP","Spain","Melilla",2020-04-20,2,927,0.018,0.00428212873964146,0.000445986456615572,-10.1754968353364,NA
"75","ESP","Spain","Principado, Asturias",2020-04-20,2,1550,0.019,0.00210568805496367,0.000445986456615572,-10.1754968353364,1075183
"76","ESP","Spain","Ourense",2020-04-20,2,686,0.029,0.005284502140269,0.000445986456615572,-10.1754968353364,328697
"77","ESP","Spain","Palencia",2020-04-20,2,740,0.08,0.00662706069331957,0.000445986456615572,-10.1754968353364,170513
"78","ESP","Spain","Balears, Illes",2020-04-20,2,1372,0.023,0.00184006767814354,0.000445986456615572,-10.1754968353364,1100503
"79","ESP","Spain","Pontevedra",2020-04-20,2,1296,0.022,0.00268202082571891,0.000445986456615572,-10.1754968353364,954877
"80","ESP","Spain","Cantabria",2020-04-20,2,1504,0.036,0.00356936723472766,0.000445986456615572,-10.1754968353364,592542
"81","ESP","Spain","Salamanca",2020-04-20,2,809,0.075,0.0101794764840665,0.000445986456615572,-10.1754968353364,350018
"82","ESP","Spain","Sevilla",2020-04-20,2,1805,0.023,0.00143712314358647,0.000445986456615572,-10.1754968353364,1930941
"83","ESP","Spain","Segovia",2020-04-20,2,548,0.118,0.0182569206537926,0.000445986456615572,-10.1754968353364,163171
"84","ESP","Spain","Soria",2020-04-20,2,707,0.144,0.0208646020505232,0.000445986456615572,-10.1754968353364,94610
"85","ESP","Spain","Gipuzkoa",2020-04-20,2,951,0.025,0.00331721777181776,0.000445986456615572,-10.1754968353364,708425
"86","ESP","Spain","Tarragona",2020-04-20,2,1012,0.014,0.00254509047833823,0.000445986456615572,-10.1754968353364,807044
"87","ESP","Spain","Teruel",2020-04-20,2,688,0.033,0.00387672706444448,0.000445986456615572,-10.1754968353364,143162
"88","ESP","Spain","Santa Cruz Tenerife",2020-04-20,2,1124,0.027,0.00155008544054875,0.000445986456615572,-10.1754968353364,995429
"89","ESP","Spain","Toledo",2020-04-20,2,1179,0.089,0.00677518298663673,0.000445986456615572,-10.1754968353364,705516
"90","ESP","Spain","Valencia/València",2020-04-20,2,1913,0.021,0.00262001714948688,0.000445986456615572,-10.1754968353364,2563342
"91","ESP","Spain","Valladolid",2020-04-20,2,1084,0.059,0.00777828873893743,0.000445986456615572,-10.1754968353364,532765
"92","ESP","Spain","Araba/Álava",2020-04-20,2,692,0.074,0.010384128587372,0.000445986456615572,-10.1754968353364,320778
"93","ESP","Spain","Zaragoza",2020-04-20,2,1331,0.049,0.0041060709360919,0.000445986456615572,-10.1754968353364,975385
"94","ESP","Spain","Zamora",2020-04-20,2,651,0.068,0.00428989682328443,0.000445986456615572,-10.1754968353364,191613
"95","USA","United States","Western Washington Region",2020-04-20,3,1719,0.0206,0.00180069416099854,9.90078521254399e-05,-9.6997539903221,5605616
"96","BEL","Belgium","Belgium",2020-04-22,1,3242,0.069,0.00361435616158465,0.000540311257939866,-9.98032801023463,11589616
"97","USA","United States","Minnesota",2020-04-22,3,860,0.0235,0.000485565368264693,3.81151367018167e-05,-9.6997539903221,3725554
"98","CHE","Switzerland","Canton of Geneva",2020-04-23,2,775,0.108,0.0100404420597421,0.000494514294866661,-9.68978293017639,499480
"99","GBR","United Kingdom","North West",2020-04-23,2,1000,0.124,0.002733,0.00032115603681725,-10.0351529090652,7340651.29893889
"100","GBR","United Kingdom","East of England",2020-04-23,2,1000,0.1,0.001696,0.00032115603681725,-10.0351529090652,6234669.81132076
"101","SWE","Sweden","Sweden",2020-04-23,1,1200,0.041,0.00171408428529983,0.000238730126038813,-9.85551565109967,10099270
"102","SWE","Sweden","Sweden",2020-04-23,1,400,0.029,0.00171408428529983,0.000238730126038813,-9.85551565109967,10099270
"103","NLD","Netherlands","Netherlands",2020-04-30,1,7000,0.055,0.00229450197850897,0.000279838665859969,-9.81510591504641,17134873
"104","SWE","Sweden","Sweden",2020-04-30,1,1200,0.046,0.0021388674626978,0.000292496388352822,-9.85551565109967,10099270
"105","SWE","Sweden","Sweden",2020-04-30,1,400,0.052,0.0021388674626978,0.000292496388352822,-9.85551565109967,10099270
"106","BRA","Brazil","Brazil",2020-05-04,1,25025,0.014,0.000511010077187409,3.4658545743322e-05,-11.0679401585434,212559409
"107","GBR","United Kingdom","England",2020-05-04,2,1757,0.054,0.002898,0.00041967413489237,-10.0351529090652,56282953.7612146
"108","SWE","Sweden","Sweden",2020-05-07,1,1200,0.054,0.00251097356541611,0.000343688207167449,-9.85551565109967,10099270
"109","SWE","Sweden","Sweden",2020-05-07,1,400,0.051,0.00251097356541611,0.000343688207167449,-9.85551565109967,10099270
"110","IND","India","India",2020-05-09,1,28000,0.0073,4.55128988593757e-05,1.52245893044753e-06,-11.710913094077,1380004385
"111","KEN","Kenya","Kenya",2020-05-10,1,3098,0.052,1.24973731339953e-05,5.95113006380727e-07,-12.530327389498,53771300
"112","USA","United States","Connecticut",2020-05-10,2,1800,0.0518,0.00933487421539372,0.000825432788850008,-9.6997539903221,3594478
"113","ESP","Spain","Alicante/Alacant",2020-05-11,2,1671,0.033,0.00283937832786046,0.000572005649133266,-10.1754968353364,1852166
"114","ESP","Spain","Albacete",2020-05-11,2,1098,0.115,0.0115643209323173,0.000572005649133266,-10.1754968353364,401580
"115","ESP","Spain","Almería",2020-05-11,2,946,0.025,0.000993123635180969,0.000572005649133266,-10.1754968353364,688736
"116","ESP","Spain","Ávila",2020-05-11,2,677,0.083,0.0120246785554073,0.000572005649133266,-10.1754968353364,171647
"117","ESP","Spain","Barcelona",2020-05-11,2,3793,0.074,0.0076995019524442,0.000572005649133266,-10.1754968353364,5522565
"118","ESP","Spain","Badajoz",2020-05-11,2,1599,0.029,0.00193697880453716,0.000572005649133266,-10.1754968353364,691799
"119","ESP","Spain","Bizkaia",2020-05-11,2,1247,0.038,0.00721421219695725,0.000572005649133266,-10.1754968353364,1156190
"120","ESP","Spain","Burgos",2020-05-11,2,922,0.053,0.00774149214308339,0.000572005649133266,-10.1754968353364,372538
"121","ESP","Spain","Coruña, A",2020-05-11,2,1243,0.022,0.0040743512143319,0.000572005649133266,-10.1754968353364,1141286
"122","ESP","Spain","Cádiz",2020-05-11,2,1382,0.024,0.00120427529781511,0.000572005649133266,-10.1754968353364,1244732
"123","ESP","Spain","Cáceres",2020-05-11,2,1191,0.039,0.00890717492809564,0.000572005649133266,-10.1754968353364,412701
"124","ESP","Spain","Ceuta",2020-05-11,2,904,0.005,0.00213654462464796,0.000572005649133266,-10.1754968353364,82376
"125","ESP","Spain","Córdoba",2020-05-11,2,1112,0.025,0.00208204840669096,0.000572005649133266,-10.1754968353364,802575
"126","ESP","Spain","Ciudad Real",2020-05-11,2,1175,0.097,0.0147504500330404,0.000572005649133266,-10.1754968353364,526628
"127","ESP","Spain","Castellón/Castelló",2020-05-11,2,865,0.038,0.00285823395124347,0.000572005649133266,-10.1754968353364,594423
"128","ESP","Spain","Cuenca",2020-05-11,2,835,0.148,0.0082448353589106,0.000572005649133266,-10.1754968353364,215165
"129","ESP","Spain","Palmas, Las",2020-05-11,2,1478,0.021,0.000672353928579641,0.000572005649133266,-10.1754968353364,1087225
"130","ESP","Spain","Girona",2020-05-11,2,991,0.031,0.00557058602884255,0.000572005649133266,-10.1754968353364,751806
"131","ESP","Spain","Granada",2020-05-11,2,1090,0.033,0.00332285001626722,0.000572005649133266,-10.1754968353364,922100
"132","ESP","Spain","Guadalajara",2020-05-11,2,867,0.106,0.00669276963354853,0.000572005649133266,-10.1754968353364,257442
"133","ESP","Spain","Huelva",2020-05-11,2,1006,0.012,0.00100404889448831,0.000572005649133266,-10.1754968353364,519895
"134","ESP","Spain","Huesca",2020-05-11,2,707,0.047,0.00402280029385472,0.000572005649133266,-10.1754968353364,225962
"135","ESP","Spain","Jaén",2020-05-11,2,1050,0.044,0.00277459834243218,0.000572005649133266,-10.1754968353364,667484
"136","ESP","Spain","Lleida",2020-05-11,2,831,0.034,0.00497687191511491,0.000572005649133266,-10.1754968353364,438428
"137","ESP","Spain","León",2020-05-11,2,935,0.057,0.00739288725998962,0.000572005649133266,-10.1754968353364,493312
"138","ESP","Spain","Rioja, La",2020-05-11,2,1402,0.038,0.0122270552007796,0.000572005649133266,-10.1754968353364,321173
"139","ESP","Spain","Lugo",2020-05-11,2,790,0.025,0.00259145509341592,0.000572005649133266,-10.1754968353364,348067
"140","ESP","Spain","Madrid",2020-05-11,2,3704,0.114,0.0106756999592331,0.000572005649133266,-10.1754968353364,6421874
"141","ESP","Spain","Málaga",2020-05-11,2,1453,0.035,0.00247490607019779,0.000572005649133266,-10.1754968353364,1594808
"142","ESP","Spain","Melilla",2020-05-11,2,926,0.032,0.00486444349447628,0.000572005649133266,-10.1754968353364,NA
"143","ESP","Spain","Principado, Asturias",2020-05-11,2,1712,0.016,0.00221729696247057,0.000572005649133266,-10.1754968353364,1075183
"144","ESP","Spain","Ourense",2020-05-11,2,750,0.022,0.00560090295926035,0.000572005649133266,-10.1754968353364,328697
"145","ESP","Spain","Palencia",2020-05-11,2,767,0.082,0.00740119521678699,0.000572005649133266,-10.1754968353364,170513
"146","ESP","Spain","Balears, Illes",2020-05-11,2,1344,0.015,0.00193820462097786,0.000572005649133266,-10.1754968353364,1100503
"147","ESP","Spain","Pontevedra",2020-05-11,2,1216,0.02,0.0033145630274894,0.000572005649133266,-10.1754968353364,954877
"148","ESP","Spain","Cantabria",2020-05-11,2,1661,0.032,0.00383770264386322,0.000572005649133266,-10.1754968353364,592542
"149","ESP","Spain","Salamanca",2020-05-11,2,858,0.083,0.0122907964733242,0.000572005649133266,-10.1754968353364,350018
"150","ESP","Spain","Sevilla",2020-05-11,2,1784,0.027,0.00154121746858138,0.000572005649133266,-10.1754968353364,1930941
"151","ESP","Spain","Segovia",2020-05-11,2,721,0.126,0.0213457048127425,0.000572005649133266,-10.1754968353364,163171
"152","ESP","Spain","Soria",2020-05-11,2,720,0.146,0.0246168481133073,0.000572005649133266,-10.1754968353364,94610
"153","ESP","Spain","Gipuzkoa",2020-05-11,2,1020,0.026,0.00342449800614038,0.000572005649133266,-10.1754968353364,708425
"154","ESP","Spain","Tarragona",2020-05-11,2,992,0.016,0.00269749852548312,0.000572005649133266,-10.1754968353364,807044
"155","ESP","Spain","Teruel",2020-05-11,2,671,0.035,0.00403039912826029,0.000572005649133266,-10.1754968353364,143162
"156","ESP","Spain","Santa Cruz Tenerife",2020-05-11,2,1227,0.032,0.00160634259198798,0.000572005649133266,-10.1754968353364,995429
"157","ESP","Spain","Toledo",2020-05-11,2,1198,0.088,0.00695377567624264,0.000572005649133266,-10.1754968353364,705516
"158","ESP","Spain","Valencia/València",2020-05-11,2,2007,0.021,0.00290558185368944,0.000572005649133266,-10.1754968353364,2563342
"159","ESP","Spain","Valladolid",2020-05-11,2,1082,0.072,0.00857038281418637,0.000572005649133266,-10.1754968353364,532765
"160","ESP","Spain","Araba/Álava",2020-05-11,2,727,0.062,0.0106054654620953,0.000572005649133266,-10.1754968353364,320778
"161","ESP","Spain","Zaragoza",2020-05-11,2,1299,0.052,0.00469558174464442,0.000572005649133266,-10.1754968353364,975385
"162","ESP","Spain","Zamora",2020-05-11,2,662,0.062,0.0051979771727388,0.000572005649133266,-10.1754968353364,191613
"163","GBR","United Kingdom","England",2020-05-13,2,3298,0.063,0.00334,0.000480806028883362,-10.0351529090652,56292514.9700599
"164","SWE","Sweden","Sweden",2020-05-14,1,1200,0.056,0.00291258675131965,0.000385473405503566,-9.85551565109967,10099270
"165","SWE","Sweden","Sweden",2020-05-14,1,400,0.04,0.00291258675131965,0.000385473405503566,-9.85551565109967,10099270
"166","USA","United States","Missouri",2020-05-14,2,1831,0.028,0.00169818774381512,9.25057198821457e-05,-9.6997539903221,6075300
"167","USA","United States","Philadelphia Metro Area",2020-05-14,3,1743,0.0363,0.00753819299627724,0.000525351943059828,-9.6997539903221,6667911
"168","USA","United States","Utah",2020-05-16,2,1940,0.0114,0.00236076796436536,2.60526176033529e-05,-9.6997539903221,2993941
"169","GBR","United Kingdom","England",2020-05-18,2,4309,0.0629,0.003516,0.000500338773806748,-10.0351529090652,56291808.8737201
"170","USA","United States","Minnesota",2020-05-18,3,1323,0.0218,0.00326716509813037,0.000173397030347701,-9.6997539903221,3725554
"171","SWE","Sweden","Sweden",2020-05-21,1,1200,0.07,0.00329093092867108,0.000421812665667915,-9.85551565109967,10099270
"172","SWE","Sweden","Sweden",2020-05-21,1,400,0.052,0.00329093092867108,0.000421812665667915,-9.85551565109967,10099270
"173","RUS","Russia","Russia",2020-05-22,1,650000,0.14,0.00223694938124964,2.2263418797726e-05,-10.4614752364644,145934460
"174","AUS","Australia","Australia",2020-05-26,1,2991,0.0028,0.000279962090803483,4.03923453603568e-06,-9.90006911157912,25499881
"175","DEU","Germany","Germany",2020-05-27,1,30000,0.0125,0.00216657260528852,0.000100592064505915,-9.91025807402266,83783945
"176","BEL","Belgium","Belgium",2020-05-28,1,2960,0.055,0.00499145096783189,0.00081003546623115,-9.98032801023463,11589616
"177","GBR","United Kingdom","England",2020-05-28,2,4840,0.0621,0.003828,0.000544397929210858,-10.0351529090652,56281609.1954023
"178","SWE","Sweden","Sweden",2020-05-28,1,1200,0.056,0.0036825433917501,0.000450428595334118,-9.85551565109967,10099270
"179","SWE","Sweden","Sweden",2020-05-28,1,400,0.063,0.0036825433917501,0.000450428595334118,-9.85551565109967,10099270
"180","ESP","Spain","Alicante/Alacant",2020-06-01,2,1564,0.03,0.00287933155019582,0.000580197324410638,-10.1754968353364,1852166
"181","ESP","Spain","Albacete",2020-06-01,2,1051,0.108,0.0117062602719259,0.000580197324410638,-10.1754968353364,401580
"182","ESP","Spain","Almería",2020-06-01,2,901,0.034,0.00102071040282488,0.000580197324410638,-10.1754968353364,688736
"183","ESP","Spain","Ávila",2020-06-01,2,661,0.08,0.0124150145356458,0.000580197324410638,-10.1754968353364,171647
"184","ESP","Spain","Barcelona",2020-06-01,2,3664,0.073,0.00816432219448752,0.000580197324410638,-10.1754968353364,5522565
"185","ESP","Spain","Badajoz",2020-06-01,2,1577,0.027,0.00209309351415657,0.000580197324410638,-10.1754968353364,691799
"186","ESP","Spain","Bizkaia",2020-06-01,2,1277,0.036,0.00732578555427741,0.000580197324410638,-10.1754968353364,1156190
"187","ESP","Spain","Burgos",2020-06-01,2,900,0.057,0.00795623533706629,0.000580197324410638,-10.1754968353364,372538
"188","ESP","Spain","Coruña, A",2020-06-01,2,1208,0.016,0.00413305692000077,0.000580197324410638,-10.1754968353364,1141286
"189","ESP","Spain","Cádiz",2020-06-01,2,1324,0.026,0.00123319718622161,0.000580197324410638,-10.1754968353364,1244732
"190","ESP","Spain","Cáceres",2020-06-01,2,1163,0.039,0.00923913438542674,0.000580197324410638,-10.1754968353364,412701
"191","ESP","Spain","Ceuta",2020-06-01,2,906,0.007,0.00262212294843158,0.000580197324410638,-10.1754968353364,82376
"192","ESP","Spain","Córdoba",2020-06-01,2,1087,0.027,0.00211070616453291,0.000580197324410638,-10.1754968353364,802575
"193","ESP","Spain","Ciudad Real",2020-06-01,2,1147,0.091,0.0152251684300873,0.000580197324410638,-10.1754968353364,526628
"194","ESP","Spain","Castellón/Castelló",2020-06-01,2,838,0.027,0.00293730222417369,0.000580197324410638,-10.1754968353364,594423
"195","ESP","Spain","Cuenca",2020-06-01,2,803,0.114,0.008700299769944,0.000580197324410638,-10.1754968353364,215165
"196","ESP","Spain","Palmas, Las",2020-06-01,2,1400,0.022,0.000696268021798616,0.000580197324410638,-10.1754968353364,1087225
"197","ESP","Spain","Girona",2020-06-01,2,1065,0.027,0.00604544257428113,0.000580197324410638,-10.1754968353364,751806
"198","ESP","Spain","Granada",2020-06-01,2,1050,0.035,0.00335863789176879,0.000580197324410638,-10.1754968353364,922100
"199","ESP","Spain","Guadalajara",2020-06-01,2,844,0.098,0.00689864124734892,0.000580197324410638,-10.1754968353364,257442
"200","ESP","Spain","Huelva",2020-06-01,2,962,0.012,0.00101558968637898,0.000580197324410638,-10.1754968353364,519895
"201","ESP","Spain","Huesca",2020-06-01,2,678,0.05,0.00442552287552774,0.000580197324410638,-10.1754968353364,225962
"202","ESP","Spain","Jaén",2020-06-01,2,1022,0.044,0.00283901936226187,0.000580197324410638,-10.1754968353364,667484
"203","ESP","Spain","Lleida",2020-06-01,2,815,0.029,0.00593712080432819,0.000580197324410638,-10.1754968353364,438428
"204","ESP","Spain","León",2020-06-01,2,934,0.064,0.00760573430202387,0.000580197324410638,-10.1754968353364,493312
"205","ESP","Spain","Rioja, La",2020-06-01,2,1356,0.037,0.0123920752989822,0.000580197324410638,-10.1754968353364,321173
"206","ESP","Spain","Lugo",2020-06-01,2,766,0.015,0.00261156616398567,0.000580197324410638,-10.1754968353364,348067
"207","ESP","Spain","Madrid",2020-06-01,2,3732,0.117,0.0110167219101465,0.000580197324410638,-10.1754968353364,6421874
"208","ESP","Spain","Málaga",2020-06-01,2,1343,0.036,0.00250374966767159,0.000580197324410638,-10.1754968353364,1594808
"209","ESP","Spain","Melilla",2020-06-01,2,907,0.034,0.00512542214130263,0.000580197324410638,-10.1754968353364,NA
"210","ESP","Spain","Principado, Asturias",2020-06-01,2,1703,0.019,0.00225636008009799,0.000580197324410638,-10.1754968353364,1075183
"211","ESP","Spain","Ourense",2020-06-01,2,748,0.025,0.00565870695503762,0.000580197324410638,-10.1754968353364,328697
"212","ESP","Spain","Palencia",2020-06-01,2,783,0.066,0.0077882624785207,0.000580197324410638,-10.1754968353364,170513
"213","ESP","Spain","Balears, Illes",2020-06-01,2,1280,0.014,0.00204270229158848,0.000580197324410638,-10.1754968353364,1100503
"214","ESP","Spain","Pontevedra",2020-06-01,2,1150,0.021,0.00333550813350829,0.000580197324410638,-10.1754968353364,954877
"215","ESP","Spain","Cantabria",2020-06-01,2,1670,0.037,0.00392039720391128,0.000580197324410638,-10.1754968353364,592542
"216","ESP","Spain","Salamanca",2020-06-01,2,836,0.095,0.0125279271351759,0.000580197324410638,-10.1754968353364,350018
"217","ESP","Spain","Sevilla",2020-06-01,2,1697,0.027,0.00155209299507339,0.000580197324410638,-10.1754968353364,1930941
"218","ESP","Spain","Segovia",2020-06-01,2,705,0.124,0.0215602037126695,0.000580197324410638,-10.1754968353364,163171
