"","sero_id","iso3c","geo_id","country","region","geo_level","date completed","date","sample.size","result.pct","continent"
"186",132,"ESP","ESP_AL","Spain","Almería",2,2020-05-11,2020-05-04,986,1.6,"Europe"
"187",127,"ESP","ESP_VI","Spain","Araba/Álava",2,2020-05-11,2020-05-04,692,7.4,"Europe"
"188",155,"ESP","ESP_AV","Spain","Ávila",2,2020-05-11,2020-05-04,667,6.6,"Europe"
"189",131,"ESP","ESP_BA","Spain","Badajoz",2,2020-05-11,2020-05-04,1583,2.6,"Europe"
"190",154,"ESP","ESP_PM","Spain","Balears, Illes",2,2020-05-11,2020-05-04,1372,2.3,"Europe"
"191",168,"ESP","ESP_B","Spain","Barcelona",2,2020-05-11,2020-05-04,3696,7,"Europe"
"192",153,"ESP","ESP_BI","Spain","Bizkaia",2,2020-05-11,2020-05-04,1195,4,"Europe"
"193",133,"ESP","ESP_BU","Spain","Burgos",2,2020-05-11,2020-05-04,887,4.9,"Europe"
"194",156,"ESP","ESP_CC","Spain","Cáceres",2,2020-05-11,2020-05-04,1201,3,"Europe"
"195",169,"ESP","ESP_CA","Spain","Cádiz",2,2020-05-11,2020-05-04,1385,1.6,"Europe"
"196",140,"ESP","ESP_S","Spain","Cantabria",2,2020-05-11,2020-05-04,1504,3.6,"Europe"
"197",146,"ESP","ESP_CS","Spain","Castellón/Castelló",2,2020-05-11,2020-05-04,803,2.9,"Europe"
"198",172,"ESP","ESP_CE","Spain","Ceuta",2,2020-05-11,2020-05-04,838,1.2,"Europe"
"199",144,"ESP","ESP_CR","Spain","Ciudad Real",2,2020-05-11,2020-05-04,1163,10.2,"Europe"
"200",134,"ESP","ESP_CO","Spain","Córdoba",2,2020-05-11,2020-05-04,1117,2.6,"Europe"
"201",157,"ESP","ESP_C","Spain","Coruña, A",2,2020-05-11,2020-05-04,1275,1.8,"Europe"
"202",170,"ESP","ESP_CU","Spain","Cuenca",2,2020-05-11,2020-05-04,851,13.2,"Europe"
"203",135,"ESP","ESP_SS","Spain","Gipuzkoa",2,2020-05-11,2020-05-04,951,2.5,"Europe"
"204",147,"ESP","ESP_GI","Spain","Girona",2,2020-05-11,2020-05-04,905,2.6,"Europe"
"205",145,"ESP","ESP_GR","Spain","Granada",2,2020-05-11,2020-05-04,1024,2.8,"Europe"
"206",167,"ESP","ESP_GU","Spain","Guadalajara",2,2020-05-11,2020-05-04,814,10.4,"Europe"
"207",158,"ESP","ESP_H","Spain","Huelva",2,2020-05-11,2020-05-04,930,1.2,"Europe"
"208",171,"ESP","ESP_HU","Spain","Huesca",2,2020-05-11,2020-05-04,733,4.4,"Europe"
"209",148,"ESP","ESP_J","Spain","Jaén",2,2020-05-11,2020-05-04,1062,4,"Europe"
"210",138,"ESP","ESP_LE","Spain","León",2,2020-05-11,2020-05-04,886,6.1,"Europe"
"211",161,"ESP","ESP_L","Spain","Lleida",2,2020-05-11,2020-05-04,710,3.8,"Europe"
"212",160,"ESP","ESP_LU","Spain","Lugo",2,2020-05-11,2020-05-04,813,2.2,"Europe"
"213",173,"ESP","ESP_M","Spain","Madrid",2,2020-05-11,2020-05-04,3186,11.3,"Europe"
"214",150,"ESP","ESP_MA","Spain","Málaga",2,2020-05-11,2020-05-04,1463,4,"Europe"
"215",149,"ESP","ESP_ML","Spain","Melilla",2,2020-05-11,2020-05-04,927,1.8,"Europe"
"216",139,"ESP","ESP_OR","Spain","Ourense",2,2020-05-11,2020-05-04,686,2.9,"Europe"
"217",174,"ESP","ESP_P","Spain","Palencia",2,2020-05-11,2020-05-04,740,8,"Europe"
"218",151,"ESP","ESP_GC","Spain","Palmas, Las",2,2020-05-11,2020-05-04,1244,1.9,"Europe"
"219",143,"ESP","ESP_PO","Spain","Pontevedra",2,2020-05-11,2020-05-04,1296,2.2,"Europe"
"220",162,"ESP","ESP_O","Spain","Principado, Asturias",2,2020-05-11,2020-05-04,1550,1.9,"Europe"
"221",137,"ESP","ESP_LO","Spain","Rioja, La",2,2020-05-11,2020-05-04,1324,3.4,"Europe"
"222",166,"ESP","ESP_SA","Spain","Salamanca",2,2020-05-11,2020-05-04,809,7.5,"Europe"
"223",130,"ESP","ESP_TF","Spain","Santa Cruz Tenerife",2,2020-05-11,2020-05-04,1124,2.7,"Europe"
"224",163,"ESP","ESP_SG","Spain","Segovia",2,2020-05-11,2020-05-04,548,11.8,"Europe"
"225",175,"ESP","ESP_SE","Spain","Sevilla",2,2020-05-11,2020-05-04,1805,2.3,"Europe"
"226",152,"ESP","ESP_SO","Spain","Soria",2,2020-05-11,2020-05-04,707,14.4,"Europe"
"227",67,"ESP","ESP","Spain","Spain",1,2020-05-11,2020-05-04,35883,5,"Europe"
"228",142,"ESP","ESP_T","Spain","Tarragona",2,2020-05-11,2020-05-04,1012,1.4,"Europe"
"229",165,"ESP","ESP_TE","Spain","Teruel",2,2020-05-11,2020-05-04,688,3.3,"Europe"
"230",141,"ESP","ESP_TO","Spain","Toledo",2,2020-05-11,2020-05-04,1179,8.9,"Europe"
"231",164,"ESP","ESP_V","Spain","Valencia/València",2,2020-05-11,2020-05-04,1913,2.1,"Europe"
"232",176,"ESP","ESP_VA","Spain","Valladolid",2,2020-05-11,2020-05-04,1084,5.9,"Europe"
"233",136,"ESP","ESP_ZA","Spain","Zamora",2,2020-05-11,2020-05-04,651,6.8,"Europe"
"234",159,"ESP","ESP_Z","Spain","Zaragoza",2,2020-05-11,2020-05-04,1331,4.9,"Europe"
"235",69,"SWE",NA,"Sweden","Rinkeby-Kista, Stockholm",3,2020-06-24,2020-06-23,538,18.7,"Europe"
"236",111,"SWE","SWE","Sweden","Sweden",1,2020-06-14,2020-06-11,400,6.3,"Europe"
"237",101,"SWE","SWE","Sweden","Sweden",1,2020-06-14,2020-06-11,1200,5.6,"Europe"
"238",100,"SWE","SWE","Sweden","Sweden",1,2020-06-07,2020-06-04,1200,7,"Europe"
"239",110,"SWE","SWE","Sweden","Sweden",1,2020-06-07,2020-06-04,400,5.2,"Europe"
"240",99,"SWE","SWE","Sweden","Sweden",1,2020-05-31,2020-05-28,1200,5.6,"Europe"
"241",109,"SWE","SWE","Sweden","Sweden",1,2020-05-31,2020-05-28,400,4,"Europe"
"242",98,"SWE","SWE","Sweden","Sweden",1,2020-05-24,2020-05-21,1200,5.4,"Europe"
"243",108,"SWE","SWE","Sweden","Sweden",1,2020-05-24,2020-05-21,400,5.1,"Europe"
"244",107,"SWE","SWE","Sweden","Sweden",1,2020-05-17,2020-05-14,400,5.2,"Europe"
"245",97,"SWE","SWE","Sweden","Sweden",1,2020-05-17,2020-05-14,1200,4.6,"Europe"
"246",96,"SWE","SWE","Sweden","Sweden",1,2020-05-10,2020-05-07,1200,4.1,"Europe"
"247",106,"SWE","SWE","Sweden","Sweden",1,2020-05-10,2020-05-07,400,2.9,"Europe"
"248",95,"SWE","SWE","Sweden","Sweden",1,2020-05-03,2020-04-30,1200,4.1,"Europe"
"249",105,"SWE","SWE","Sweden","Sweden",1,2020-05-03,2020-04-30,400,2.6,"Europe"
"250",94,"SWE","SWE","Sweden","Sweden",1,2020-04-26,2020-04-23,1200,5.2,"Europe"
"251",104,"SWE","SWE","Sweden","Sweden",1,2020-04-26,2020-04-23,400,0.7,"Europe"
"252",103,"SWE","SWE","Sweden","Sweden",1,2020-03-29,2020-03-26,400,0,"Europe"
"253",102,"SWE","SWE","Sweden","Sweden",1,2020-03-22,2020-03-19,400,0,"Europe"
